INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182009324,03115,Investigate Person,INVESTIGATE PERSON,B2,321,,2018-02-04 20:32:00,2018,2,Sunday,20,Part Three,BLUE HILL AVE,42.30952511,-71.08261838,"(42.30952511, -71.08261838)"
I182009319,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,354,,2018-02-04 21:31:00,2018,2,Sunday,21,Part Two,ADAMS ST,42.29807739,-71.05695195,"(42.29807739, -71.05695195)"
I182009313,01402,Vandalism,VANDALISM,C6,914,,2018-02-04 20:44:00,2018,2,Sunday,20,Part Two,OLD COLONY AVE,42.32422562,-71.05242608,"(42.32422562, -71.05242608)"
I182009311,03410,Towed,TOWED MOTOR VEHICLE,C11,247,,2018-02-04 16:40:00,2018,2,Sunday,16,Part Three,PEARL ST,42.31493506,-71.05834852,"(42.31493506, -71.05834852)"
I182009309,03114,Investigate Property,INVESTIGATE PROPERTY,E13,638,,2018-02-04 20:51:16,2018,2,Sunday,20,Part Three,DANFORTH ST,42.31755171,-71.10534530,"(42.31755171, -71.10534530)"
I182009306,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,397,,2018-02-04 20:23:00,2018,2,Sunday,20,Part Three,CENTRE ST,42.29156264,-71.06713211,"(42.29156264, -71.06713211)"
I182009301,01402,Vandalism,VANDALISM,C6,215,,2018-02-04 20:32:00,2018,2,Sunday,20,Part Two,E ST,42.33601452,-71.05139619,"(42.33601452, -71.05139619)"
I182009300,01402,Vandalism,VANDALISM,B3,429,,2018-02-04 20:16:00,2018,2,Sunday,20,Part Two,MORTON ST,42.28194827,-71.08742318,"(42.28194827, -71.08742318)"
I182009297,03111,License Violation,LICENSE PREMISE VIOLATION,A7,27,,2018-02-04 20:21:00,2018,2,Sunday,20,Part Three,MAVERICK ST,42.37029336,-71.03925861,"(42.37029336, -71.03925861)"
I182009293,00613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-02-04 19:22:00,2018,2,Sunday,19,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182009292,02629,Harassment,HARASSMENT,E18,501,,2018-02-04 19:40:00,2018,2,Sunday,19,Part Two,HYDE PARK AVE,42.28063521,-71.11889610,"(42.28063521, -71.11889610)"
I182009290,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,186,,2018-02-04 19:20:00,2018,2,Sunday,19,Part Three,BOSTON ST,42.32593682,-71.05885279,"(42.32593682, -71.05885279)"
I182009286,03207,Property Found,PROPERTY - FOUND,, ,,2018-02-04 19:20:00,2018,2,Sunday,19,Part Three,,42.28429865,-71.09154342,"(42.28429865, -71.09154342)"
I182009280,03301,Verbal Disputes,VERBAL DISPUTE,D4,271,,2018-02-04 18:30:00,2018,2,Sunday,18,Part Three,WASHINGTON ST,42.33537410,-71.07831560,"(42.33537410, -71.07831560)"
I182009279,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,438,,2018-02-04 18:10:00,2018,2,Sunday,18,Part One,TALBOT AVE,42.29125387,-71.07551334,"(42.29125387, -71.07551334)"
I182009278,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,120,,2018-02-04 17:32:00,2018,2,Sunday,17,Part Two,PARK PLZ,42.35162789,-71.06866410,"(42.35162789, -71.06866410)"
I182009277,02647,Other,THREATS TO DO BODILY HARM,C11,397,,2018-02-04 17:56:00,2018,2,Sunday,17,Part Two,CENTRE ST,42.29070005,-71.06991285,"(42.29070005, -71.06991285)"
I182009276,03805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,E13,303,,2018-02-03 00:00:00,2018,2,Saturday,0,Part Three,AMORY ST,42.32171760,-71.09846743,"(42.32171760, -71.09846743)"
I182009275,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2018-02-04 17:42:00,2018,2,Sunday,17,Part Three,BISMARCK,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009274,03115,Investigate Person,INVESTIGATE PERSON,C11,462,,2018-02-04 17:21:00,2018,2,Sunday,17,Part Three,NOTTINGHAM ST,42.30116811,-71.07347571,"(42.30116811, -71.07347571)"
I182009272,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,428,,2018-02-04 18:02:00,2018,2,Sunday,18,Part Three,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I182009270,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,A7,28,,2018-02-04 17:48:00,2018,2,Sunday,17,Part Three,LONDON ST,42.37382246,-71.03842544,"(42.37382246, -71.03842544)"
I182009267,00619,Larceny,LARCENY ALL OTHERS,C6,236,,2018-02-04 15:28:00,2018,2,Sunday,15,Part One,ROSECLAIR ST,42.32082017,-71.06010572,"(42.32082017, -71.06010572)"
I182009267,03201,Property Lost,PROPERTY - LOST,C6,236,,2018-02-04 15:28:00,2018,2,Sunday,15,Part Three,ROSECLAIR ST,42.32082017,-71.06010572,"(42.32082017, -71.06010572)"
I182009266,03207,Property Found,PROPERTY - FOUND,, ,,2018-02-04 18:10:00,2018,2,Sunday,18,Part Three,,42.28429865,-71.09154342,"(42.28429865, -71.09154342)"
I182009264,03207,Property Found,PROPERTY - FOUND,, ,,2018-02-04 18:08:00,2018,2,Sunday,18,Part Three,,42.28429865,-71.09154342,"(42.28429865, -71.09154342)"
I182009263,03207,Property Found,PROPERTY - FOUND,, ,,2018-02-04 18:05:00,2018,2,Sunday,18,Part Three,,42.28429865,-71.09154342,"(42.28429865, -71.09154342)"
I182009258,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,239,,2018-02-04 17:15:00,2018,2,Sunday,17,Part Three,DUDLEY ST,42.31715877,-71.06543173,"(42.31715877, -71.06543173)"
I182009257,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,517,,2018-02-04 17:06:00,2018,2,Sunday,17,Part Two,GARFIELD AVE,42.24537314,-71.11985995,"(42.24537314, -71.11985995)"
I182009256,03304,Assembly or Gathering Violations,NOISY PARTY/RADIO-NO ARREST,C6,212,,2018-02-04 16:26:00,2018,2,Sunday,16,Part Three,DORCHESTER ST,42.33686889,-71.04379437,"(42.33686889, -71.04379437)"
